nom,masse_kg_m,h_m,b_m,tw_m,tf_m,r_m,aire_m2,Iyy_m4,Izz_m4,iy_m,iz_m,Wel_y_m3,Wel_z_m3,Wpl_y_m3,Wpl_z_m3,J_m4,Iw_m6,obsolete,date,profil_gsa
SHS100x100x10,27.4,0.1,0.1,0.01,,,0.00349,4.62e-06,4.62e-06,0.0364,0.0364,9.24e-05,9.24e-05,0.000116,0.000116,7.61e-06,,,20110705,CAT EN-SHS SHS100x100x10 20110705
SHS120x120x8,27.6,0.12,0.12,0.008,,,0.00352,7.26e-06,7.26e-06,0.0455,0.0455,0.000121,0.000121,0.000146,0.000146,1.16e-05,,,20110705,CAT EN-SHS SHS120x120x8 20110705
SHS150x150x6.3,28.1,0.15,0.15,0.0063,,,0.00358,1.223e-05,1.223e-05,0.0585,0.0585,0.000163,0.000163,0.000192,0.000192,1.909e-05,,False,20100728,CAT EN-SHS SHS150x150x6.3 20100728
SHS90x90x12.5,29.1,0.09,0.09,0.0125,,,0.00371,3.59e-06,3.59e-06,0.0311,0.0311,7.98e-05,7.98e-05,0.000105,0.000105,6.12e-06,,,20110705,CAT EN-SHS SHS90x90x12.5 20110705
SHS140x140x7.1,29.2,0.14,0.14,0.0071,,,0.00372,1.086e-05,1.086e-05,0.054,0.054,0.000155,0.000155,0.000184,0.000184,1.709e-05,,,20110705,CAT EN-SHS SHS140x140x7.1 20110705
SHS120x120x8.8,30.1,0.12,0.12,0.0088,,,0.00383,7.79e-06,7.79e-06,0.0451,0.0451,0.00013,0.00013,0.000158,0.000158,1.252e-05,,,20110705,CAT EN-SHS SHS120x120x8.8 20110705
SHS160x160x6.3,30.1,0.16,0.16,0.0063,,,0.00383,1.499e-05,1.499e-05,0.0626,0.0626,0.000187,0.000187,0.00022,0.00022,2.333e-05,,False,20100728,CAT EN-SHS SHS160x160x6.3 20100728
SHS200x200x5,30.4,0.2,0.2,0.005,,,0.00387,2.445e-05,2.445e-05,0.0795,0.0795,0.000245,0.000245,0.000283,0.000283,3.756e-05,,,20110705,CAT EN-SHS SHS200x200x5 20110705
SHS150x150x7.1,31.4,0.15,0.15,0.0071,,,0.004,1.352e-05,1.352e-05,0.0581,0.0581,0.00018,0.00018,0.000213,0.000213,2.121e-05,,,20110705,CAT EN-SHS SHS150x150x7.1 20110705
SHS140x140x8,32.6,0.14,0.14,0.008,,,0.00416,1.195e-05,1.195e-05,0.0536,0.0536,0.000171,0.000171,0.000204,0.000204,1.892e-05,,,20110705,CAT EN-SHS SHS140x140x8 20110705
SHS100x100x12.5,33.0,0.1,0.1,0.0125,,,0.00421,5.22e-06,5.22e-06,0.0352,0.0352,0.000104,0.000104,0.000135,0.000135,8.79e-06,,,20110705,CAT EN-SHS SHS100x100x12.5 20110705
SHS120x120x10,33.7,0.12,0.12,0.01,,,0.00429,8.52e-06,8.52e-06,0.0446,0.0446,0.000142,0.000142,0.000175,0.000175,1.382e-05,,,20110705,CAT EN-SHS SHS120x120x10 20110705
SHS160x160x7.1,33.7,0.16,0.16,0.0071,,,0.00429,1.659e-05,1.659e-05,0.0622,0.0622,0.000207,0.000207,0.000245,0.000245,2.595e-05,,,20110705,CAT EN-SHS SHS160x160x7.1 20110705
SHS180x180x6.3,34.0,0.18,0.18,0.0063,,,0.00433,2.168e-05,2.168e-05,0.0707,0.0707,0.000241,0.000241,0.000281,0.000281,3.361e-05,,False,20100728,CAT EN-SHS SHS180x180x6.3 20100728
SHS150x150x8,35.1,0.15,0.15,0.008,,,0.00448,1.491e-05,1.491e-05,0.0577,0.0577,0.000199,0.000199,0.000237,0.000237,2.351e-05,,,20110705,CAT EN-SHS SHS150x150x8 20110705
SHS140x140x8.8,35.6,0.14,0.14,0.0088,,,0.00454,1.287e-05,1.287e-05,0.0533,0.0533,0.000184,0.000184,0.000221,0.000221,2.048e-05,,,20110705,CAT EN-SHS SHS140x140x8.8 20110705
SHS160x160x8,37.6,0.16,0.16,0.008,,,0.0048,1.831e-05,1.831e-05,0.0618,0.0618,0.000229,0.000229,0.000272,0.000272,2.88e-05,,,20110705,CAT EN-SHS SHS160x160x8 20110705
SHS200x200x6.3,38.0,0.2,0.2,0.0063,,,0.00484,3.011e-05,3.011e-05,0.0789,0.0789,0.000301,0.000301,0.00035,0.00035,4.653e-05,,False,20100728,CAT EN-SHS SHS200x200x6.3 20100728
SHS180x180x7.1,38.1,0.18,0.18,0.0071,,,0.00486,2.404e-05,2.404e-05,0.0704,0.0704,0.000267,0.000267,0.000314,0.000314,3.744e-05,,,20110705,CAT EN-SHS SHS180x180x7.1 20110705
SHS250x250x5,38.3,0.25,0.25,0.005,,,0.00487,4.861e-05,4.861e-05,0.0999,0.0999,0.000389,0.000389,0.000447,0.000447,7.43e-05,,,20110705,CAT EN-SHS SHS250x250x5 20110705
SHS150x150x8.8,38.4,0.15,0.15,0.0088,,,0.00489,1.608e-05,1.608e-05,0.0574,0.0574,0.000214,0.000214,0.000257,0.000257,2.549e-05,,,20110705,CAT EN-SHS SHS150x150x8.8 20110705
SHS140x140x10,40.0,0.14,0.14,0.01,,,0.00509,1.416e-05,1.416e-05,0.0527,0.0527,0.000202,0.000202,0.000246,0.000246,2.272e-05,,,20110705,CAT EN-SHS SHS140x140x10 20110705
