nom,masse_kg_m,h_m,b_m,tw_m,tf_m,aire_m2,Iyy_m4,Wel_y_m3,Wpl_y_m3,iy_m,Izz_m4,Wel_z_m3,Wpl_z_m3,iz_m,J_m4,r_m,profil_gsa
HE180A,35.5,0.171,0.18,0.006,0.0095,0.00453,2.51e-05,0.00029360000000000003,0.00032490000000000004,0.0745,9.246e-06,0.0001027,0.0001565,0.045200000000000004,1.49e-07,0.015,CAT HE-AM HE180A 20170912
HE180B,51.2,0.18,0.18,0.0085,0.014,0.006529999999999999,3.831e-05,0.00042570000000000005,0.00048140000000000005,0.0766,1.363e-05,0.00015140000000000002,0.000231,0.045700000000000005,4.22e-07,0.015,CAT HE-AM HE180B 20170912
HE180C,69.8,0.19,0.183,0.0115,0.019,0.0089,5.5429999999999996e-05,0.0005835,0.000675,0.0789,1.944e-05,0.00021250000000000002,0.00032490000000000004,0.0468,1.01e-06,0.015,CAT HE-AM HE180C 20170912
HE180M,88.9,0.2,0.186,0.0145,0.024,0.01133,7.483e-05,0.0007483,0.0008834,0.0813,2.58e-05,0.0002774,0.00042520000000000004,0.047700000000000006,2.01e-06,0.015,CAT HE-AM HE180M 20170912
HE200AA,34.6,0.186,0.2,0.0055,0.008,0.00441,2.944e-05,0.0003166,0.00034710000000000003,0.0817,1.068e-05,0.00010680000000000001,0.0001632,0.0492,1.25e-07,0.018000000000000002,CAT HE-AM HE200AA 20170912
HE200A,42.3,0.19,0.2,0.006500000000000001,0.01,0.005379999999999999,3.692e-05,0.0003886,0.00042950000000000003,0.0828,1.3359999999999999e-05,0.0001336,0.00020380000000000002,0.0498,2.11e-07,0.018000000000000002,CAT HE-AM HE200A 20170912
HE200B,61.3,0.2,0.2,0.009000000000000001,0.015,0.007809999999999999,5.696e-05,0.0005696000000000001,0.0006425000000000001,0.0854,2.003e-05,0.00020030000000000002,0.0003058,0.0507,5.97e-07,0.018000000000000002,CAT HE-AM HE200B 20170912
HE200C,81.9,0.21,0.203,0.012,0.02,0.01044,8.028999999999999e-05,0.0007647,0.0008806,0.0877,2.794e-05,0.0002753,0.00042100000000000004,0.0517,1.35e-06,0.018000000000000002,CAT HE-AM HE200C 20170912
HE200M,103,0.22,0.20600000000000002,0.015,0.025,0.01313,0.0001064,0.0009674000000000001,0.0011350000000000002,0.09,3.651e-05,0.0003545,0.0005432000000000001,0.052700000000000004,2.58e-06,0.018000000000000002,CAT HE-AM HE200M 20170912
HE220AA,40.4,0.20500000000000002,0.22,0.006,0.0085,0.00515,4.17e-05,0.0004069,0.00044550000000000004,0.09,1.51e-05,0.0001373,0.00020930000000000002,0.054200000000000005,1.55e-07,0.018000000000000002,CAT HE-AM HE220AA 20170912
