nom,masse_kg_m,h_m,b_m,tw_m,tf_m,aire_m2,Iyy_m4,Wel_y_m3,Wpl_y_m3,iy_m,Izz_m4,Wel_z_m3,Wpl_z_m3,iz_m,J_m4,r_m,profil_gsa
SHS80x80x6.3,14.2,0.08,0.08,0.0063,,0.00181,1.62e-06,4.05e-05,4.97e-05,0.0299,1.62e-06,4.05e-05,4.97e-05,0.0299,2.62e-06,,CAT EN-SHS SHS80x80x6.3 20100728
SHS80x80x7.1,15.8,0.08,0.08,0.007100000000000001,,0.00202,1.7599999999999999e-06,4.39e-05,5.45e-05,0.029500000000000002,1.7599999999999999e-06,4.39e-05,5.45e-05,0.029500000000000002,2.86e-06,,CAT EN-SHS SHS80x80x7.1 20110705
SHS80x80x8,17.5,0.08,0.08,0.008,,0.00224,1.89e-06,4.7300000000000005e-05,5.95e-05,0.0291,1.89e-06,4.7300000000000005e-05,5.95e-05,0.0291,3.1199999999999998e-06,,CAT EN-SHS SHS80x80x8 20110705
SHS80x80x8.8,19,0.08,0.08,0.0088,,0.00242,2e-06,5e-05,6.37e-05,0.0287,2e-06,5e-05,6.37e-05,0.0287,3.32e-06,,CAT EN-SHS SHS80x80x8.8 20110705
SHS80x80x10,21.1,0.08,0.08,0.01,,0.0026899999999999997,2.14e-06,5.3500000000000006e-05,6.93e-05,0.0282,2.14e-06,5.3500000000000006e-05,6.93e-05,0.0282,3.6e-06,,CAT EN-SHS SHS80x80x10 20110705
SHS80x80x12.5,25.2,0.08,0.08,0.0125,,0.0032099999999999997,2.34e-06,5.86e-05,7.890000000000001e-05,0.027,2.34e-06,5.86e-05,7.890000000000001e-05,0.027,4.04e-06,,CAT EN-SHS SHS80x80x12.5 20110705
RHS90x50x3,6.24,0.09,0.05,0.003,,0.000794,8.44e-07,1.88e-05,2.32e-05,0.03259999999999999,3.3499999999999997e-07,1.34e-05,1.5300000000000003e-05,0.0205,7.65e-07,,CAT EN-RHS RHS90x50x3 20110705
RHS90x50x3.2,6.63,0.09,0.05,0.0032,,0.0008439999999999999,8.91e-07,1.98e-05,2.46e-05,0.0325,3.53e-07,1.41e-05,1.62e-05,0.020399999999999998,8.09e-07,,CAT EN-RHS RHS90x50x3.2 20100728
RHS90x50x3.6,7.4,0.09,0.05,0.0036000000000000003,,0.0009419999999999999,9.83e-07,2.18e-05,2.72e-05,0.032299999999999995,3.87e-07,1.55e-05,1.8e-05,0.020300000000000002,8.939999999999999e-07,,CAT EN-RHS RHS90x50x3.6 20110705
RHS90x50x4,8.15,0.09,0.05,0.004,,0.00104,1.07e-06,2.3800000000000003e-05,2.9800000000000003e-05,0.03209999999999999,4.19e-07,1.6800000000000002e-05,1.9600000000000002e-05,0.020100000000000003,9.75e-07,,CAT EN-RHS RHS90x50x4 20110705
SHS90x90x3.6,9.66,0.09,0.09,0.0036000000000000003,,0.00123,1.52e-06,3.38e-05,3.97e-05,0.0352,1.52e-06,3.38e-05,3.97e-05,0.0352,2.3699999999999998e-06,,CAT EN-SHS SHS90x90x3.6 20110705
RHS90x50x5,9.99,0.09,0.05,0.005,,0.0012699999999999999,1.27e-06,2.83e-05,3.6e-05,0.0316,4.92e-07,1.97e-05,2.3500000000000002e-05,0.0197,1.16e-06,,CAT EN-RHS RHS90x50x5 20110705
SHS90x90x4,10.7,0.09,0.09,0.004,,0.0013599999999999999,1.66e-06,3.7000000000000005e-05,4.36e-05,0.035,1.66e-06,3.7000000000000005e-05,4.36e-05,0.035,2.6e-06,,CAT EN-SHS SHS90x90x4 20110705
RHS90x50x6.3,12.3,0.09,0.05,0.0063,,0.00156,1.5e-06,3.33e-05,4.32e-05,0.031,5.699999999999999e-07,2.2800000000000002e-05,2.8000000000000003e-05,0.019100000000000002,1.38e-06,,CAT EN-RHS RHS90x50x6.3 20100728
SHS90x90x5,13.1,0.09,0.09,0.005,,0.0016699999999999998,2e-06,4.44e-05,5.3e-05,0.0345,2e-06,4.44e-05,5.3e-05,0.0345,3.16e-06,,CAT EN-SHS SHS90x90x5 20110705
RHS90x50x7.1,13.6,0.09,0.05,0.007100000000000001,,0.00173,1.62e-06,3.6e-05,4.72e-05,0.030600000000000002,6.09e-07,2.44e-05,3.0500000000000003e-05,0.0188,1.49e-06,,CAT EN-RHS RHS90x50x7.1 20110705
RHS90x50x8,15,0.09,0.05,0.008,,0.0019199999999999998,1.74e-06,3.86e-05,5.14e-05,0.030100000000000002,6.459999999999999e-07,2.58e-05,3.29e-05,0.0184,1.6e-06,,CAT EN-RHS RHS90x50x8 20110705
SHS90x90x6.3,16.2,0.09,0.09,0.0063,,0.00207,2.38e-06,5.3e-05,6.430000000000002e-05,0.034,2.38e-06,5.3e-05,6.430000000000002e-05,0.034,3.82e-06,,CAT EN-SHS SHS90x90x6.3 20100728
SHS90x90x7.1,18.1,0.09,0.09,0.007100000000000001,,0.0023,2.6e-06,5.7700000000000007e-05,7.08e-05,0.033600000000000005,2.6e-06,5.7700000000000007e-05,7.08e-05,0.033600000000000005,4.19e-06,,CAT EN-SHS SHS90x90x7.1 20110705
SHS90x90x8,20.1,0.09,0.09,0.008,,0.0025599999999999998,2.8099999999999998e-06,6.260000000000002e-05,7.76e-05,0.0332,2.8099999999999998e-06,6.260000000000002e-05,7.76e-05,0.0332,4.59e-06,,CAT EN-SHS SHS90x90x8 20110705
SHS90x90x8.8,21.8,0.09,0.09,0.0088,,0.00278,2.9899999999999997e-06,6.65e-05,8.340000000000001e-05,0.032799999999999996,2.9899999999999997e-06,6.65e-05,8.340000000000001e-05,0.032799999999999996,4.9199999999999995e-06,,CAT EN-SHS SHS90x90x8.8 20110705
SHS90x90x10,24.3,0.09,0.09,0.01,,0.00309,3.22e-06,7.16e-05,9.130000000000001e-05,0.032299999999999995,3.22e-06,7.16e-05,9.130000000000001e-05,0.032299999999999995,5.3599999999999995e-06,,CAT EN-SHS SHS90x90x10 20110705
SHS90x90x12.5,29.1,0.09,0.09,0.0125,,0.0037099999999999998,3.59e-06,7.98e-05,0.000105,0.031100000000000003,3.59e-06,7.98e-05,0.000105,0.031100000000000003,6.12e-06,,CAT EN-SHS SHS90x90x12.5 20110705
RHS100x50x3,6.71,0.1,0.05,0.003,,0.0008539999999999999,1.1e-06,2.19e-05,2.7300000000000003e-05,0.0358,3.68e-07,1.4700000000000002e-05,1.6800000000000002e-05,0.020800000000000003,8.84e-07,,CAT EN-RHS RHS100x50x3 20110705
