nom,masse_kg_m,h_m,b_m,tw_m,tf_m,r_m,aire_m2,Iyy_m4,Izz_m4,iy_m,iz_m,Wel_y_m3,Wel_z_m3,Wpl_y_m3,Wpl_z_m3,J_m4,Iw_m6,obsolete,date,profil_gsa
SHS140x140x10,40.0,0.14,0.14,0.01,,,0.00509,1.416e-05,1.416e-05,0.0527,0.0527,0.000202,0.000202,0.000246,0.000246,2.272e-05,,,20110705,CAT EN-SHS SHS140x140x10 20110705
SHS220x220x6.3,41.9,0.22,0.22,0.0063,,,0.00534,4.049e-05,4.049e-05,0.0871,0.0871,0.000368,0.000368,0.000427,0.000427,6.24e-05,,False,20100728,CAT EN-SHS SHS220x220x6.3 20100728
SHS200x200x7.1,42.6,0.2,0.2,0.0071,,,0.00542,3.345e-05,3.345e-05,0.0785,0.0785,0.000335,0.000335,0.000391,0.000391,5.189e-05,,,20110705,CAT EN-SHS SHS200x200x7.1 20110705
SHS150x150x10,43.1,0.15,0.15,0.01,,,0.00549,1.773e-05,1.773e-05,0.0568,0.0568,0.000236,0.000236,0.000286,0.000286,2.832e-05,,,20110705,CAT EN-SHS SHS150x150x10 20110705
SHS160x160x10,46.3,0.16,0.16,0.01,,,0.00589,2.186e-05,2.186e-05,0.0609,0.0609,0.000273,0.000273,0.000329,0.000329,3.478e-05,,,20110705,CAT EN-SHS SHS160x160x10 20110705
SHS180x180x8.8,46.7,0.18,0.18,0.0088,,,0.00594,2.88e-05,2.88e-05,0.0696,0.0696,0.00032,0.00032,0.000379,0.000379,4.524e-05,,,20110705,CAT EN-SHS SHS180x180x8.8 20110705
SHS200x200x8,47.7,0.2,0.2,0.008,,,0.00608,3.709e-05,3.709e-05,0.0781,0.0781,0.000371,0.000371,0.000436,0.000436,5.778e-05,,,20110705,CAT EN-SHS SHS200x200x8 20110705
SHS140x140x12.5,48.7,0.14,0.14,0.0125,,,0.00621,1.653e-05,1.653e-05,0.0516,0.0516,0.000236,0.000236,0.000293,0.000293,2.696e-05,,False,20100728,CAT EN-SHS SHS140x140x12.5 20100728
SHS180x180x10,52.5,0.18,0.18,0.01,,,0.00669,3.193e-05,3.193e-05,0.0691,0.0691,0.000355,0.000355,0.000424,0.000424,5.048e-05,,,20110705,CAT EN-SHS SHS180x180x10 20110705
SHS150x150x12.5,52.7,0.15,0.15,0.0125,,,0.00671,2.08e-05,2.08e-05,0.0557,0.0557,0.000277,0.000277,0.000342,0.000342,3.375e-05,,False,20100728,CAT EN-SHS SHS150x150x12.5 20100728
SHS220x220x8.0,52.7,0.22,0.22,0.008,,,0.00672,5.002e-05,5.002e-05,0.0863,0.0863,0.000455,0.000455,0.000532,0.000532,7.765e-05,,False,20100728,CAT EN-SHS SHS220x220x8.0 20100728
SHS160x160x12.5,56.6,0.16,0.16,0.0125,,,0.00721,2.576e-05,2.576e-05,0.0598,0.0598,0.000322,0.000322,0.000395,0.000395,4.158e-05,,False,20100728,CAT EN-SHS SHS160x160x12.5 20100728
SHS200x200x10,58.8,0.2,0.2,0.01,,,0.00749,4.471e-05,4.471e-05,0.0772,0.0772,0.000447,0.000447,0.000531,0.000531,7.031e-05,,,20110705,CAT EN-SHS SHS200x200x10 20110705
SHS180x180x12.5,64.4,0.18,0.18,0.0125,,,0.00821,3.79e-05,3.79e-05,0.068,0.068,0.000421,0.000421,0.000511,0.000511,6.07e-05,,False,20100728,CAT EN-SHS SHS180x180x12.5 20100728
SHS220x220x10.0,65.1,0.22,0.22,0.01,,,0.00829,6.05e-05,6.05e-05,0.0854,0.0854,0.00055,0.00055,0.00065,0.00065,9.473e-05,,False,20100728,CAT EN-SHS SHS220x220x10.0 20100728
SHS200x200x12.5,72.3,0.2,0.2,0.0125,,,0.00921,5.336e-05,5.336e-05,0.0761,0.0761,0.000534,0.000534,0.000643,0.000643,8.491e-05,,False,20100728,CAT EN-SHS SHS200x200x12.5 20100728
SHS220x220x12.5,80.1,0.22,0.22,0.0125,,,0.0102,7.254e-05,7.254e-05,0.0843,0.0843,0.000659,0.000659,0.000789,0.000789,0.0001148,,False,20100728,CAT EN-SHS SHS220x220x12.5 20100728
SHS180x180x16,80.2,0.18,0.18,0.016,,,0.0102,4.504e-05,4.504e-05,0.0664,0.0664,0.0005,0.0005,0.000621,0.000621,7.343e-05,,,20110705,CAT EN-SHS SHS180x180x16 20110705
SHS200x200x16,90.3,0.2,0.2,0.016,,,0.0115,6.394e-05,6.394e-05,0.0746,0.0746,0.000639,0.000639,0.000785,0.000785,0.0001034,,,20110705,CAT EN-SHS SHS200x200x16 20110705
SHS220x220x16.0,100.0,0.22,0.22,0.016,,,0.0128,8.749e-05,8.749e-05,0.0827,0.0827,0.000795,0.000795,0.000969,0.000969,0.0001405,,False,20100728,CAT EN-SHS SHS220x220x16.0 20100728
