nom,masse_kg_m,h_m,b_m,tw_m,tf_m,r_m,aire_m2,Iyy_m4,Izz_m4,iy_m,iz_m,Wel_y_m3,Wel_z_m3,Wpl_y_m3,Wpl_z_m3,J_m4,Iw_m6,obsolete,date,profil_gsa
CHS1016x10.0,248.0,1.016,,0.01,,,0.0316,0.003999,0.003999,0.356,0.356,0.007871,0.007871,0.01012,0.01012,0.007997,,False,20100728,CAT EN-CHS CHS1016x10.0 20100728
CHS406x28.0,261.0,0.4064,,0.028,,,0.0333,0.00059902,0.00059902,0.134,0.134,0.002948,0.002948,0.004017,0.004017,0.00119804,,,20110705,CAT EN-CHS CHS406x28.0 20110705
CHS1067x10.0,261.0,1.067,,0.01,,,0.0332,0.004638,0.004638,0.374,0.374,0.008693,0.008693,0.01117,0.01117,0.009275,,False,20100728,CAT EN-CHS CHS1067x10.0 20100728
CHS762x14.2,262.0,0.762,,0.0142,,,0.0334,0.00233,0.00233,0.264,0.264,0.00612,0.00612,0.00794,0.00794,0.00467,,False,20100728,CAT EN-CHS CHS762x14.2 20100728
CHS508x22.0,264.0,0.508,,0.022,,,0.0336,0.00099376,0.00099376,0.172,0.172,0.003912,0.003912,0.0052,0.0052,0.00198751,,,20110705,CAT EN-CHS CHS508x22.0 20110705
CHS457x25.0,266.0,0.457,,0.025,,,0.0339,0.0007942,0.0007942,0.153,0.153,0.003475,0.003475,0.004671,0.004671,0.001588,,False,20100728,CAT EN-CHS CHS457x25.0 20100728
CHS711x16.0,274.0,0.711,,0.016,,,0.0349,0.00211,0.00211,0.246,0.246,0.005936,0.005936,0.00773,0.00773,0.004221,,False,20100728,CAT EN-CHS CHS711x16.0 20100728
CHS406x30.0,278.0,0.4064,,0.03,,,0.0355,0.0006322,0.0006322,0.133,0.133,0.003111,0.003111,0.004259,0.004259,0.001265,,False,20100728,CAT EN-CHS CHS406x30.0 20100728
CHS914x12.5,278.0,0.914,,0.0125,,,0.0354,0.003597,0.003597,0.319,0.319,0.007871,0.007871,0.01016,0.01016,0.007194,,False,20100728,CAT EN-CHS CHS914x12.5 20100728
CHS813x14.2,280.0,0.813,,0.0142,,,0.0356,0.00284,0.00284,0.282,0.282,0.00699,0.00699,0.00906,0.00906,0.00569,,False,20100728,CAT EN-CHS CHS813x14.2 20100728
