nom,masse_kg_m,h_m,b_m,tw_m,tf_m,r_m,aire_m2,Iyy_m4,Izz_m4,iy_m,iz_m,Wel_y_m3,Wel_z_m3,Wpl_y_m3,Wpl_z_m3,J_m4,Iw_m6,obsolete,date,profil_gsa
RHS250x200x12.5,82.1,0.25,0.2,0.0125,,,0.0105,9.151e-05,6.437e-05,0.0935,0.0785,0.000732,0.000644,0.000888,0.00076,0.00011986,,,20110705,CAT EN-RHS RHS250x200x12.5 20110705
RHS300x150x12.5,82.1,0.3,0.15,0.0125,,,0.0105,0.00011688,3.858e-05,0.106,0.0607,0.000779,0.000514,0.000986,0.0006,9.445e-05,,,20110705,CAT EN-RHS RHS300x150x12.5 20110705
RHS300x250x10,82.4,0.3,0.25,0.01,,,0.0105,0.00013923,0.00010496,0.115,0.1,0.000928,0.00084,0.001101,0.000971,0.0001862,,,20110705,CAT EN-RHS RHS300x250x10 20110705
RHS400x150x10,82.4,0.4,0.15,0.01,,,0.0105,0.00020111,4.227e-05,0.138,0.0635,0.001006,0.000564,0.001285,0.000636,0.0001146,,,20110705,CAT EN-RHS RHS400x150x10 20110705
RHS400x300x8,85.4,0.4,0.3,0.008,,,0.0109,0.00025709,0.0001654,0.154,0.123,0.001285,0.001103,0.001517,0.001247,0.00031014,,,20110705,CAT EN-RHS RHS400x300x8 20110705
RHS450x250x8,85.4,0.45,0.25,0.008,,,0.0109,0.00030082,0.00012142,0.166,0.106,0.001337,0.000971,0.001622,0.001081,0.00027083,,,20110705,CAT EN-RHS RHS450x250x8 20110705
RHS450x250x8.0,85.4,0.45,0.25,0.008,,,0.0109,0.0003008,0.0001214,0.166,0.106,0.001337,0.000971,0.001622,0.001081,0.0002708,,False,20100728,CAT EN-RHS RHS450x250x8.0 20100728
RHS500x200x8,85.4,0.5,0.2,0.008,,,0.0109,0.00034045,8.135e-05,0.177,0.0865,0.001362,0.000814,0.001707,0.000896,0.00021124,,,20110705,CAT EN-RHS RHS500x200x8 20110705
RHS260x180x14.2,90.1,0.26,0.18,0.0142,,,0.0115,0.0001028,5.719e-05,0.0946,0.0706,0.000791,0.000635,0.00098,0.000755,0.0001182,,False,20100728,CAT EN-RHS RHS260x180x14.2 20100728
RHS350x250x10,90.2,0.35,0.25,0.01,,,0.0115,0.00020102,0.00011937,0.132,0.102,0.001149,0.000955,0.001375,0.001091,0.00023354,,,20110705,CAT EN-RHS RHS350x250x10 20110705
RHS400x200x10,90.2,0.4,0.2,0.01,,,0.0115,0.00023914,8.084e-05,0.144,0.0839,0.001196,0.000808,0.00148,0.000911,0.00019259,,,20110705,CAT EN-RHS RHS400x200x10 20110705
